epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2456,2.1605,4.0832,2.23899,0.73243,0.19434,0.17974,0.04998,2.45968,2.87159,2.78553,0.000362454,0.000362454,0.000362454
2,42.6674,2.17981,2.71265,2.23595,0.67628,0.08257,0.04722,0.0097,3.46291,2.97361,3.82502,0.000730369,0.000730369,0.000730369
3,63.8169,2.20096,2.56119,2.28804,0.007,0.0369,0.00453,0.00136,3.96216,inf,10.1938,0.00109584,0.00109584,0.00109584
4,81.8145,2.28816,2.61335,2.34988,0.24617,0.05907,0.0331,0.00882,2.82189,11.5486,3.12991,0.0011,0.0011,0.0011
5,99.6634,2.25712,2.53051,2.39355,0.29063,0.12926,0.06914,0.02032,2.87782,2.89147,3.09102,0.00109633,0.00109633,0.00109633
6,117.399,2.24669,2.49243,2.36795,0.56098,0.24399,0.1329,0.03424,2.66338,2.8912,3.05698,0.00109267,0.00109267,0.00109267
7,135.233,2.14593,2.40172,2.33413,0.55108,0.36965,0.2943,0.08431,2.50367,2.78008,2.93469,0.001089,0.001089,0.001089
8,153.132,2.1437,2.36117,2.28969,0.54712,0.24463,0.15384,0.03968,2.57437,2.61562,2.92033,0.00108534,0.00108534,0.00108534
9,170.993,2.1871,2.40493,2.33159,0.38998,0.34513,0.20017,0.05669,2.64844,2.45003,3.10748,0.00108167,0.00108167,0.00108167
10,188.828,2.16177,2.42168,2.30624,0.53911,0.40481,0.25045,0.07542,2.36446,3.26892,2.75076,0.001078,0.001078,0.001078
11,206.692,2.13698,2.3408,2.31652,0.39667,0.38472,0.26639,0.08757,2.44551,2.48423,2.8498,0.00107434,0.00107434,0.00107434
12,224.835,2.07861,2.29463,2.2576,0.33839,0.38765,0.25604,0.08248,2.4196,2.4342,2.83636,0.00107067,0.00107067,0.00107067
13,242.662,2.05879,2.33152,2.2248,0.17948,0.42832,0.33751,0.11976,2.35462,2.14989,2.59466,0.001067,0.001067,0.001067
14,260.714,2.05266,2.25793,2.20489,0.31376,0.47767,0.42777,0.15048,2.40806,2.17167,2.68685,0.00106334,0.00106334,0.00106334
15,278.603,2.06663,2.2357,2.21615,0.54866,0.3786,0.34991,0.13785,2.39066,2.09225,2.69774,0.00105967,0.00105967,0.00105967
16,296.522,2.0656,2.21344,2.21666,0.42779,0.3942,0.32789,0.11984,2.33179,2.53845,2.68814,0.00105601,0.00105601,0.00105601
17,314.341,2.04489,2.21335,2.19549,0.49889,0.49261,0.45754,0.17568,2.41257,2.05806,2.64746,0.00105234,0.00105234,0.00105234
18,332.29,2.07008,2.1606,2.18606,0.38459,0.50803,0.46569,0.18062,2.29727,2.16489,2.52621,0.00104867,0.00104867,0.00104867
19,350.147,2.06905,2.13572,2.1575,0.33985,0.46389,0.41701,0.14045,2.41785,1.95578,2.60151,0.00104501,0.00104501,0.00104501
20,367.983,2.03063,2.118,2.16861,0.47962,0.41517,0.44258,0.18245,2.33873,1.99718,2.57755,0.00104134,0.00104134,0.00104134
21,385.907,2.04908,2.13211,2.19672,0.50986,0.47355,0.46643,0.17348,2.38048,2.0379,2.6411,0.00103767,0.00103767,0.00103767
22,403.695,1.99791,2.06833,2.14563,0.34645,0.52009,0.42397,0.14583,2.38906,2.16847,2.64105,0.00103401,0.00103401,0.00103401
23,421.506,2.02357,2.12497,2.16301,0.44666,0.57531,0.49553,0.17585,2.38139,2.03462,2.6878,0.00103034,0.00103034,0.00103034
24,439.301,1.98779,2.07349,2.1404,0.38929,0.52381,0.47614,0.17394,2.34881,2.07303,2.63543,0.00102668,0.00102668,0.00102668
25,457.084,2.0109,2.07756,2.13803,0.75957,0.32676,0.41893,0.16985,2.37852,2.2773,2.69634,0.00102301,0.00102301,0.00102301
26,474.786,2.02189,2.06633,2.16414,0.68775,0.41178,0.49797,0.19815,2.45095,1.9342,2.64448,0.00101934,0.00101934,0.00101934
27,492.606,2.02473,2.03146,2.13699,0.32888,0.498,0.45876,0.1759,2.37204,2.22311,2.58937,0.00101568,0.00101568,0.00101568
28,510.347,1.99011,2.05914,2.14707,0.48746,0.51776,0.47802,0.18803,2.35697,1.82264,2.63962,0.00101201,0.00101201,0.00101201
29,528.218,1.93431,2.01579,2.11413,0.56438,0.5406,0.55595,0.21187,2.36501,1.86883,2.63422,0.00100834,0.00100834,0.00100834
30,546.311,1.98921,2.00114,2.15859,0.50775,0.56999,0.56662,0.24173,2.39154,1.8566,2.66094,0.00100468,0.00100468,0.00100468
31,564.255,1.96026,2.05144,2.15253,0.62173,0.48879,0.49819,0.19535,2.43411,1.86995,2.68149,0.00100101,0.00100101,0.00100101
32,582.285,1.99449,1.99847,2.15447,0.78656,0.39579,0.52917,0.20639,2.26556,2.00429,2.63746,0.000997345,0.000997345,0.000997345
33,600.154,1.96654,1.95407,2.1271,0.44926,0.4727,0.51031,0.20698,2.34655,1.86906,2.62503,0.000993678,0.000993678,0.000993678
34,618.086,1.99284,2.00303,2.11264,0.55093,0.54398,0.52778,0.21621,2.31756,1.89298,2.55703,0.000990012,0.000990012,0.000990012
35,635.834,1.95248,1.97339,2.11242,0.45578,0.53156,0.53218,0.22076,2.33157,1.88031,2.62464,0.000986346,0.000986346,0.000986346
36,653.634,1.97099,1.98505,2.13388,0.56549,0.54199,0.51607,0.22297,2.31499,1.89625,2.55208,0.000982679,0.000982679,0.000982679
37,671.366,1.92996,1.95098,2.11242,0.43853,0.54044,0.51797,0.21154,2.40421,1.94289,2.68753,0.000979013,0.000979013,0.000979013
38,689.157,1.9326,1.95116,2.09367,0.63134,0.48448,0.54378,0.23547,2.3988,1.83709,2.62014,0.000975347,0.000975347,0.000975347
39,707.029,1.91703,1.9278,2.05863,0.68024,0.39959,0.49262,0.18931,2.35304,1.9161,2.60954,0.000971681,0.000971681,0.000971681
40,724.799,1.9322,1.8938,2.09355,0.51247,0.48683,0.49928,0.20891,2.3646,1.86089,2.53686,0.000968014,0.000968014,0.000968014
41,742.633,1.92728,1.93485,2.0954,0.34554,0.33478,0.38103,0.1584,2.452,2.05899,2.64738,0.000964348,0.000964348,0.000964348
42,760.378,1.93296,1.92159,2.09024,0.389,0.49377,0.47144,0.19476,2.33725,1.87463,2.56761,0.000960682,0.000960682,0.000960682
43,778.146,1.93887,1.91602,2.10169,0.60572,0.48972,0.51916,0.22879,2.31077,1.87848,2.52306,0.000957015,0.000957015,0.000957015
44,795.91,1.95326,1.8964,2.07712,0.53329,0.54302,0.56364,0.2296,2.36383,1.82115,2.6359,0.000953349,0.000953349,0.000953349
45,813.728,1.92486,1.87958,2.0864,0.56798,0.54005,0.54957,0.22119,2.36822,1.83025,2.66861,0.000949683,0.000949683,0.000949683
46,831.535,1.87644,1.80358,2.06875,0.43412,0.53262,0.50221,0.18502,2.40978,1.85394,2.70848,0.000946016,0.000946016,0.000946016
47,849.297,1.89482,1.85598,2.07949,0.63401,0.54323,0.52858,0.20717,2.34249,1.84202,2.57481,0.00094235,0.00094235,0.00094235
48,867.162,1.90576,1.87236,2.0744,0.52515,0.54741,0.58603,0.2602,2.27822,1.79247,2.61969,0.000938684,0.000938684,0.000938684
49,885.083,1.89664,1.81805,2.06609,0.70382,0.4964,0.55431,0.23164,2.36204,1.75621,2.63301,0.000935018,0.000935018,0.000935018
50,902.872,1.8981,1.87793,2.07716,0.42407,0.65584,0.56306,0.24566,2.25795,1.91291,2.61637,0.000931351,0.000931351,0.000931351
51,920.672,1.88114,1.8485,2.04774,0.64592,0.53305,0.52178,0.209,2.34916,1.81327,2.63521,0.000927685,0.000927685,0.000927685
52,938.498,1.85891,1.83755,2.05389,0.43042,0.57158,0.53424,0.21479,2.41412,1.79499,2.66312,0.000924019,0.000924019,0.000924019
53,956.271,1.90772,1.79562,2.08886,0.48768,0.59403,0.57564,0.25693,2.37995,1.82868,2.67401,0.000920352,0.000920352,0.000920352
54,974.05,1.88848,1.82693,2.07133,0.50859,0.55336,0.5605,0.24112,2.34913,1.83618,2.64535,0.000916686,0.000916686,0.000916686
55,991.791,1.87816,1.79127,2.03725,0.42614,0.49792,0.48217,0.17565,2.39989,1.81156,2.59875,0.00091302,0.00091302,0.00091302
56,1009.56,1.88738,1.79714,2.05012,0.58302,0.58819,0.58782,0.22988,2.42074,1.74655,2.66466,0.000909353,0.000909353,0.000909353
57,1027.39,1.85865,1.76076,2.0376,0.59755,0.56254,0.60659,0.25644,2.36677,1.75717,2.62725,0.000905687,0.000905687,0.000905687
58,1045.19,1.8951,1.85519,2.06492,0.40406,0.55752,0.5242,0.20906,2.37966,1.89096,2.70243,0.000902021,0.000902021,0.000902021
59,1062.94,1.83786,1.76541,2.01244,0.65369,0.55952,0.56098,0.23931,2.34074,1.82534,2.61817,0.000898355,0.000898355,0.000898355
60,1080.71,1.82866,1.77771,2.00168,0.36197,0.53131,0.47265,0.21877,2.37614,1.85626,2.70003,0.000894688,0.000894688,0.000894688
61,1098.52,1.83318,1.80677,2.03305,0.44645,0.54569,0.47915,0.20594,2.33437,1.82769,2.64254,0.000891022,0.000891022,0.000891022
62,1116.34,1.83363,1.76845,2.00844,0.66589,0.54013,0.54727,0.22214,2.38838,1.80837,2.64914,0.000887356,0.000887356,0.000887356
63,1134.16,1.81142,1.7477,1.99332,0.43784,0.49675,0.48349,0.18078,2.46213,1.8576,2.7098,0.000883689,0.000883689,0.000883689
64,1151.98,1.7826,1.74843,2.01685,0.46815,0.57664,0.49016,0.2046,2.36687,1.96905,2.73398,0.000880023,0.000880023,0.000880023
65,1169.78,1.85995,1.72643,2.03608,0.65503,0.59618,0.6073,0.26191,2.3622,1.73196,2.65693,0.000876357,0.000876357,0.000876357
66,1187.81,1.79425,1.72005,1.95468,0.68973,0.52588,0.56284,0.24104,2.31965,1.77476,2.64888,0.000872691,0.000872691,0.000872691
67,1205.75,1.79215,1.67596,1.97814,0.56601,0.54726,0.60653,0.24455,2.39996,1.82187,2.67615,0.000869024,0.000869024,0.000869024
68,1223.66,1.86341,1.75167,2.04064,0.74595,0.5836,0.61591,0.24574,2.42737,1.79356,2.68302,0.000865358,0.000865358,0.000865358
69,1241.51,1.79083,1.67122,1.99191,0.48791,0.52137,0.57417,0.23774,2.4028,1.80348,2.67014,0.000861692,0.000861692,0.000861692
70,1259.43,1.81246,1.70912,2.00735,0.48001,0.52709,0.50498,0.20949,2.38069,1.77877,2.61669,0.000858025,0.000858025,0.000858025
71,1277.25,1.8048,1.68666,1.98505,0.424,0.57696,0.50444,0.20008,2.38931,1.77908,2.64662,0.000854359,0.000854359,0.000854359
72,1295.11,1.77366,1.63205,1.9785,0.54659,0.52144,0.55648,0.23126,2.43885,1.83981,2.71635,0.000850693,0.000850693,0.000850693
73,1312.98,1.76858,1.63378,1.98569,0.47611,0.61477,0.58785,0.23195,2.40839,1.76515,2.7271,0.000847026,0.000847026,0.000847026
74,1330.89,1.77366,1.59065,1.97747,0.50731,0.61221,0.57929,0.24928,2.3875,1.73516,2.64821,0.00084336,0.00084336,0.00084336
75,1348.75,1.76806,1.60535,1.96666,0.46667,0.60226,0.57848,0.22101,2.42598,1.7264,2.64315,0.000839694,0.000839694,0.000839694
76,1366.61,1.78636,1.68538,1.96514,0.60097,0.46624,0.5326,0.2109,2.43107,1.85868,2.71364,0.000836027,0.000836027,0.000836027
77,1384.44,1.74925,1.59002,1.93821,0.58307,0.56585,0.59102,0.25037,2.43949,1.74211,2.7312,0.000832361,0.000832361,0.000832361
78,1402.19,1.73641,1.60454,1.93083,0.50613,0.57222,0.50302,0.20109,2.44766,1.75519,2.7272,0.000828695,0.000828695,0.000828695
79,1419.95,1.72574,1.56063,1.92478,0.56007,0.5654,0.59137,0.23523,2.42462,1.70833,2.7281,0.000825029,0.000825029,0.000825029
80,1437.73,1.73305,1.60227,1.93086,0.56208,0.57394,0.59463,0.23098,2.4323,1.78083,2.69794,0.000821362,0.000821362,0.000821362
81,1455.53,1.7144,1.56672,1.93122,0.49047,0.64518,0.59647,0.2483,2.37217,1.71646,2.65749,0.000817696,0.000817696,0.000817696
82,1473.28,1.74084,1.60729,1.93444,0.6318,0.56334,0.61609,0.25325,2.39685,1.7,2.71516,0.00081403,0.00081403,0.00081403
83,1491.12,1.69827,1.58262,1.95279,0.52108,0.56156,0.54673,0.24635,2.45701,1.7585,2.7901,0.000810363,0.000810363,0.000810363
84,1508.98,1.72167,1.55129,1.93142,0.53935,0.52613,0.56993,0.2635,2.41005,1.81014,2.75411,0.000806697,0.000806697,0.000806697
85,1526.89,1.70902,1.5411,1.91895,0.48885,0.61619,0.53622,0.22178,2.43157,1.72085,2.71205,0.000803031,0.000803031,0.000803031
86,1544.78,1.70362,1.54107,1.92406,0.5405,0.6362,0.60755,0.25855,2.45763,1.69179,2.79577,0.000799365,0.000799365,0.000799365
87,1562.58,1.71085,1.53893,1.93609,0.53333,0.61271,0.5649,0.23788,2.38533,1.72961,2.7392,0.000795698,0.000795698,0.000795698
88,1580.46,1.67885,1.51674,1.90826,0.51502,0.60104,0.58594,0.25202,2.43948,1.7102,2.79881,0.000792032,0.000792032,0.000792032
89,1598.3,1.6709,1.50605,1.91527,0.50479,0.61532,0.5786,0.2269,2.47775,1.76398,2.72848,0.000788366,0.000788366,0.000788366
90,1616.29,1.70355,1.55985,1.90593,0.52561,0.61721,0.54222,0.2182,2.43608,1.76535,2.7187,0.000784699,0.000784699,0.000784699
91,1634.26,1.63544,1.45913,1.86661,0.5225,0.62287,0.60573,0.26189,2.46168,1.67121,2.8026,0.000781033,0.000781033,0.000781033
92,1652.28,1.67403,1.49611,1.90504,0.63034,0.58102,0.59118,0.25621,2.45227,1.73471,2.75379,0.000777367,0.000777367,0.000777367
93,1670.2,1.66687,1.49006,1.90026,0.58713,0.6137,0.58989,0.25017,2.49284,1.71957,2.78889,0.0007737,0.0007737,0.0007737
94,1688.2,1.64468,1.46258,1.85808,0.52755,0.54083,0.52008,0.22487,2.48167,1.7216,2.73229,0.000770034,0.000770034,0.000770034
95,1706.16,1.65465,1.43247,1.87457,0.53142,0.60142,0.60417,0.23916,2.47694,1.70428,2.7979,0.000766368,0.000766368,0.000766368
96,1724.07,1.64319,1.4615,1.89289,0.49037,0.62405,0.59195,0.26332,2.40669,1.76715,2.72505,0.000762702,0.000762702,0.000762702
97,1742.02,1.61569,1.43935,1.84529,0.56225,0.51357,0.51159,0.23267,2.44801,1.68675,2.71738,0.000759035,0.000759035,0.000759035
98,1759.94,1.66087,1.49267,1.8764,0.63465,0.62508,0.61962,0.24966,2.44734,1.74332,2.78318,0.000755369,0.000755369,0.000755369
99,1778,1.65168,1.4795,1.87384,0.62467,0.5872,0.60115,0.22068,2.45415,1.70505,2.7696,0.000751703,0.000751703,0.000751703
100,1795.92,1.66417,1.46663,1.89517,0.50296,0.63903,0.56802,0.25628,2.45777,1.78015,2.82545,0.000748036,0.000748036,0.000748036
